,lat,lng,name,address,shop_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39
0,47.57912976949022,-122.4105114304656,Alki Cafe,2726 Alki Ave SW,0,0.0,0.019317759666045337,0.0,0.0017013369914257012,0.006821913956438675,0.0034986538348859017,0.025839802335058577,0.0,0.006751097690534715,0.01872079098895312,0.0005588109061081608,0.030673181719397362,0.0,0.0,0.014415968372324416,0.0,0.0018257693645323785,0.0,0.0,0.0,0.0016963307307244547,0.0,0.0,0.0,0.007504416397081148,0.0,0.0,0.0,0.0,3.2739605894994244e-05,0.0,0.0,0.008312423428393471,0.0009674834413734226,0.02601235051398252,0.0,0.08759518963316712,0.0,0.3659752376408952,0.0
1,47.579351919457494,-122.40912553471102,Tully's Coffee,2676 Alki Ave SW,1,0.0583255927206515,0.0,0.010738716348529144,0.0,0.002276633025919292,0.0,0.14273260210050906,0.0059657819591625106,0.005398782992054907,0.008806142706485946,0.0024945679820018475,0.03116968977786172,0.0,0.0,0.01925835398347084,0.0,0.0,0.0,0.04901823245415493,0.03848461236149951,0.07446081567459334,0.0392441866990888,0.0,0.0,0.03758398840332817,0.0,0.0007346654383243088,0.0,0.012887641598498345,0.0,0.0,0.0,0.0,0.030509683065809194,0.007146497744601855,0.008402627657241696,0.048430519303919874,0.0,0.1045348541086496,0.0
2,47.580447078344314,-122.40672795397764,Ampersand Cafe,2536 Alki Ave SW,2,0.0,0.2067929113813336,0.0,0.0,0.0,0.0,0.0,0.0225762288233288,0.0,0.0,0.0,0.11904158886076335,0.028233470517135418,0.0,0.07883803219624043,0.0,0.0,0.0,0.05342801946516879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01063180102842255,0.0,0.006540214792229605,0.0,0.1571252638502831,0.0,0.0,0.04285544032843629,0.05124017081541979,0.0006062379023487898,0.053706595485124985,0.0
3,47.68056106567383,-122.40470886230469,Jibe Espresso Bar,7001 Seaview Ave NW #170,3,0.0,0.0789344218090315,0.03211989587892824,0.0,0.0,0.0,0.033130612527854784,0.0,0.0,0.0,0.0,0.08769443596516346,0.0,0.0,0.0,0.0,0.011681279920401149,0.0,0.03200086608714872,0.04069447777501997,0.00401046036374825,0.0005357395820110169,0.0,0.0027219597538137253,0.008368884477039526,0.0,0.12835255788714678,0.0018925500670671984,0.0,0.0610293257541272,0.01820557267838996,0.0,0.0007988951288618138,0.04979193321281152,0.0172652878563907,0.1027498492985778,0.1056200671005307,0.032958219760767266,0.0,0.0989555008620596
5,47.67567412366766,-122.39838671984013,Pico Café,6415 32nd Ave NW,5,0.0,0.051616240767373284,0.0,0.0,0.009566562715396371,0.0,0.0,0.0,0.0,0.04734331526721654,0.0,0.0,0.02224289828269624,0.010666383813532344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04960454310178684,0.0,0.10718295295285538,0.0,0.0,0.0029273291499473837,0.03291834927726376,0.042820287396778116,0.0,0.0,0.0,0.0,0.020297191079831342,0.0,0.042303966770242465,0.0,0.12529469595548626,0.0,0.0
6,47.675592,-122.39823999999999,Walter's,6408 32nd Ave NW,6,0.005488546737702012,0.0,0.0,0.0,0.0,0.0,0.0070561200511409326,0.0,0.0,0.0,0.0,0.04917619839695705,0.006333835916373034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102614890133026,0.0,0.0,0.0,0.0,0.025122829156031076,0.0,0.0,0.04072592982228464,0.0,0.0,0.03047634333474906,0.6130815075479299,0.0,0.0,0.014426872005426247,0.0,0.006457208701366179,0.0
7,47.659875260413415,-122.3980593855696,Discovery Espresso,3103 W Jameson St,7,0.04589606013063144,0.1547145939655301,0.03370623477348805,0.0,0.0,0.0,0.0,0.0192906574167896,0.0,0.0,0.06789703263462425,0.08294698259619168,0.02340651146819216,0.0,0.009348556534042736,0.0074779815769449925,0.0,0.01626642464199418,0.0,0.03956273954640016,0.0,0.009707874866498671,0.0,0.010801250904012358,0.005265913784980314,0.012082781442398266,0.014066593863716484,0.0,0.0,0.003351518628509107,0.0,0.0,0.01149330682067237,0.008989969726948608,0.0,0.13553901823650913,0.0,0.04545981933676085,0.016414937626452818,0.0
8,47.63936318208165,-122.3994672441943,Uptown Espresso,3223 W McGraw St,8,0.07979387603885285,0.0,0.011204863202259422,0.0,0.0,0.007741418376684241,0.0,0.03409437636196637,0.0,0.0,0.049495027023506326,0.02360985696321017,0.007345558966512829,0.0,0.048399215538879416,0.0,0.0,0.0,0.002552828825720039,0.0,0.054870030029956114,0.025007774762211072,0.028832738868887257,0.0,0.054461215341760766,0.0,0.03760866792875392,0.0,0.0,0.0930147704717437,0.01250114737923431,0.0,0.0,0.04187633470491714,0.0,0.089587839910396,0.017854463664489426,0.0,0.0,0.06717121783498628
9,47.66878064399137,-122.39155747750972,Firehouse Coffee,2622 NW Market St,9,0.04009776120173485,0.05668696544722239,0.011330511608815057,0.006735808173213203,0.0,0.0,0.08662850552236408,0.054465371229388465,0.0,0.00217401639610616,0.07342941479704987,0.05045566543724722,0.009098569878850406,0.0,0.002758396597692407,0.0,0.0,0.0,0.007413227130200559,0.0,0.05988291206262082,0.04789178505054666,0.027457300944068886,0.0,0.026408804338611484,0.0,0.2829262854343668,0.0,0.0,0.060638541330805075,0.02832579366147012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,47.58093335962384,-122.39204425742336,Alki Mail and Dispatch,4701 SW Admiral Way,10,0.0039270607273248475,0.0,0.0,0.0,0.0,0.0,0.2086100681910096,0.0,0.0,0.0,0.013877866430236564,0.110048571603436,0.09606011858401714,0.0,0.0,0.0038965933546957635,0.021445837630848476,0.0,0.008407337855386662,0.0,0.00200742295048652,0.0,0.025053214672424887,0.0,0.0,0.0,0.0,0.0,0.06540146233117766,0.01012173254420247,0.0813902393269395,0.0,0.0,0.0,0.07922095910798715,0.014256485476389176,0.011961290211433176,0.04806620440100847,0.0,0.0
